,0
0,['1273']
1,"['9351', '1273']"
2,"['9970', '1273']"
3,['9351']
4,"['9351', '9970', '1273']"
5,['10763']
6,"['10763', '1273']"
7,"['9351', '10763']"
8,['9970']
9,"['936', '1273']"
10,"['11705', '1273']"
11,"['9351', '10763', '1273']"
12,"['9351', '11705', '1273']"
13,"['850', '1273']"
14,['11705']
15,['936']
16,"['9351', '936', '1273']"
17,['2841']
18,"['1273', '2841']"
19,"['9351', '850', '1273']"
20,"['1273', '1459']"
21,"['2914', '1273']"
22,['850']
23,[]
24,"['9351', '1273', '1459']"
25,['1459']
26,['2914']
27,"['9351', '1273', '2841']"
28,"['3146', '1273']"
29,"['9351', '9970']"
30,"['9351', '10763', '9970', '1273']"
31,"['936', '850', '1273']"
32,['74']
33,"['9351', '2914', '1273']"
34,"['1273', '0050742']"
35,['0060072']
36,"['9351', '936']"
37,"['10763', '9970', '1273']"
38,"['9351', '11705', '9970', '1273']"
39,['1470']
40,"['3083', '1273']"
41,"['6713', '1273']"
42,"['409', '1273']"
43,"['9351', '6713', '1273']"
44,"['1612', '1273']"
45,"['11705', '9970', '1273']"
46,"['9351', '11705']"
47,"['9970', '2841']"
48,"['1307', '1273']"
49,"['9970', '1273', '2841']"
50,"['9351', '1273', '6000']"
51,"['10763', '9970']"
52,"['1273', '6000']"
53,['10652']
54,"['9351', '409', '1273']"
55,"['10283', '1273']"
56,"['11705', '10763', '1273']"
57,"['9351', '11705', '850', '1273']"
58,['13121']
59,"['9351', '9408', '1273']"
60,['3146']
61,"['9351', '1273', '0050742']"
62,"['9970', '1273', '1459']"
63,['10283']
64,"['9351', '936', '11705', '1273']"
65,"['9351', '9970', '1273', '2841']"
66,['3083']
67,"['936', '10763', '1273']"
68,"['9351', '850']"
69,"['9351', '74', '1273']"
70,"['9351', '11705', '10763', '1273']"
71,"['9351', '1273', '10652']"
72,"['1273', '10652']"
73,"['6713', '10763', '1273']"
74,"['9351', '11705', '10763']"
75,"['9970', '1459']"
76,"['9351', '850', '9970', '1273']"
77,"['74', '1273']"
78,"['9351', '3146', '1273']"
79,"['9351', '10763', '9970']"
80,['409']
81,"['0060224', '1273']"
82,['552']
83,"['850', '3083', '1273']"
84,"['1612', '2914']"
85,['0070004']
86,"['850', '10763', '1273']"
87,"['1574', '0050742']"
88,"['11705', '1273', '2841']"
89,"['936', '10652']"
90,"['9408', '1273']"
91,"['1273', '7998']"
92,"['0050853', '1273']"
