,index,cluster,silhouette,name
0,38,0,0.20093324939989776,"['diabetes mellitus', 'obsolete impaired renal function disease', 'obesity', 'respiratory syncytial virus infectious disease']"
1,91,0,0.1716904000312487,"['respiratory syncytial virus infectious disease', 'hyperthyroidism']"
2,343,0,0.1646697972222623,"['diabetes mellitus', 'chronic obstructive pulmonary disease', 'larynx cancer', 'hypertension', 'respiratory syncytial virus infectious disease']"
3,188,0,0.15892663959964687,"['hypertension', 'obesity', 'asthma']"
4,216,0,0.15186086917235056,"['prostate cancer', 'respiratory syncytial virus infectious disease', 'deficiency anemia']"
5,237,0,0.14633073152884074,['stomach disease']
6,227,0,0.14615525234919477,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'pharynx cancer', 'nicotine dependence']"
7,41,0,0.14585941752593154,"['cerebrovascular disease', 'respiratory syncytial virus infectious disease']"
8,225,0,0.14180999801506974,"['major depressive disorder', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
9,423,0,0.14180999801506974,"['diabetes mellitus', 'brain disease', 'epilepsy', 'hypertension']"
10,265,0,0.13825928652974262,['bronchitis']
11,387,0,0.13503612792842012,"['diabetes mellitus', 'psychotic disorder', 'liver disease', 'obesity']"
12,88,0,0.134139707518849,"['obsolete impaired renal function disease', 'respiratory syncytial virus infectious disease', 'asthma']"
13,9,0,0.02428269722851879,"['brain disease', 'respiratory syncytial virus infectious disease']"
14,1,0,0.023239116341522308,"['diabetes mellitus', 'respiratory syncytial virus infectious disease']"
15,115,0,0.022957371581947612,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'dilated cardiomyopathy']"
16,382,0,0.022910068610368175,"['pulmonary emphysema', 'respiratory syncytial virus infectious disease', ""Alzheimer's disease""]"
17,234,0,0.021862054411195805,"['diabetes mellitus', 'hematopoietic system disease']"
18,205,0,0.021170551287552963,"['diabetes mellitus', 'coronary artery disease', 'respiratory syncytial virus infectious disease', 'rectal benign neoplasm']"
19,458,0,0.02001228374495724,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'hypothyroidism', 'asthma']"
20,295,0,0.017485450023284322,"['obesity', 'respiratory syncytial virus infectious disease', 'endometriosis']"
21,355,0,0.017485450023284322,"['diabetes mellitus', 'major depressive disorder', 'obesity', 'respiratory syncytial virus infectious disease']"
22,386,0,0.017485450023284322,"['diabetes mellitus', 'chronic obstructive pulmonary disease', 'lipid metabolism disorder', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
23,242,0,0.01667002789768159,"['diabetes mellitus', 'lung disease', 'lipid metabolism disorder', 'lupus erythematosus', 'respiratory syncytial virus infectious disease']"
24,162,0,0.014650060658495232,"['acute myocardial infarction', 'pulmonary embolism', 'obesity', 'respiratory syncytial virus infectious disease']"
25,131,0,0.01261907177992603,"['diabetes mellitus', 'major depressive disorder']"
26,298,0,0.010653681384830836,"['diabetes mellitus', 'hypertension', 'respiratory syncytial virus infectious disease', 'hypothyroidism', 'congestive heart failure']"
27,347,0,0.008526236209293223,"['alcohol use disorder', 'tuberculosis', 'human immunodeficiency virus infectious disease', 'nicotine dependence']"
28,166,0,0.0066840929680399,"[""Sjogren's syndrome"", 'respiratory syncytial virus infectious disease']"
29,145,0,0.006213744050010911,['viral pneumonia']
30,315,0,0.006058078381019937,"['diabetes mellitus', 'schizophrenia', 'brain disease', 'respiratory syncytial virus infectious disease']"
31,151,0,0.005627619787719993,"['brain disease', 'obsolete impaired renal function disease', 'epilepsy', 'hypertension', 'respiratory syncytial virus infectious disease']"
32,321,0,0.004486866877538588,"['diabetes mellitus', 'prostate cancer', 'obesity', 'respiratory syncytial virus infectious disease']"
33,27,0,0.004234172342514997,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'asthma']"
34,364,0,0.004234172342514997,"['diabetes mellitus', 'cerebrovascular disease', 'lung disease', 'respiratory syncytial virus infectious disease']"
35,405,0,0.004164811468332883,"['diabetes mellitus', 'liver disease', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
36,303,0,0.0038323937992442527,['liver cirrhosis']
37,434,0,0.003651687383699099,"['diabetes mellitus', 'obsolete impaired renal function disease', 'cerebrovascular disease', 'respiratory syncytial virus infectious disease', 'deficiency anemia']"
38,449,0,0.0029940119760478723,"['myelodysplastic syndrome', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
39,451,0,0.0010806276956701602,"['brain disease', 'immune system disease', 'respiratory syncytial virus infectious disease']"
40,262,0,0.00017734491729368376,"['diabetes mellitus', 'benign neoplasm']"
41,37,0,0.0,"['hypertension', 'obesity', 'respiratory syncytial virus infectious disease']"
42,80,0,0.0,['liver disease']
43,104,0,0.0,"['diabetes mellitus', 'hypothyroidism']"
44,117,0,0.0,"['bronchitis', 'respiratory syncytial virus infectious disease']"
45,124,0,0.0,"['diabetes mellitus', 'lipid metabolism disorder', 'obesity', 'respiratory syncytial virus infectious disease']"
46,175,0,0.0,"['neurofibromatosis', 'respiratory syncytial virus infectious disease']"
47,177,0,0.0,"['liver disease', 'immune system disease']"
48,213,0,0.0,"['liver disease', 'obesity', 'respiratory syncytial virus infectious disease', 'asthma']"
49,218,0,0.0,['cerebrovascular disease']
50,280,0,0.0,"['diabetes mellitus', 'atrial fibrillation', 'respiratory syncytial virus infectious disease']"
51,282,0,0.0,"['diabetes mellitus', 'liver disease']"
52,326,0,0.0,"['brain disease', 'hematopoietic system disease']"
