,cluster
0,0
1,0
2,2
3,1
4,0
5,1
6,3
7,1
8,2
9,0
10,2
11,1
12,2
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,3
21,2
22,3
23,0
24,2
25,0
26,2
27,0
28,1
29,2
30,3
31,2
32,2
33,2
34,2
35,2
36,0
37,0
38,0
39,0
40,0
41,0
42,2
43,0
44,1
45,0
46,3
47,0
48,0
49,3
50,2
51,1
52,1
53,0
54,3
55,3
56,0
57,2
58,0
59,0
60,2
61,0
62,2
63,0
64,2
65,2
66,1
67,2
68,0
69,2
70,0
71,1
72,3
73,2
74,0
75,0
76,3
77,2
78,0
79,2
80,0
81,3
82,2
83,2
84,2
85,2
86,0
87,1
88,0
89,2
90,1
91,0
92,1
93,3
94,2
95,2
96,3
97,1
98,0
99,1
100,0
101,3
102,2
103,0
104,0
105,1
106,3
107,0
108,2
109,2
110,0
111,3
112,3
113,2
114,1
115,0
116,0
117,0
118,3
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,2
130,2
131,0
132,3
133,0
134,3
135,2
136,1
137,2
138,0
139,1
140,1
141,3
142,3
143,2
144,2
145,0
146,1
147,2
148,3
149,2
150,1
151,0
152,1
153,3
154,2
155,2
156,1
157,0
158,0
159,2
160,3
161,0
162,0
163,0
164,1
165,0
166,0
167,2
168,3
169,3
170,1
171,0
172,0
173,0
174,2
175,0
176,3
177,0
178,1
179,0
180,2
181,2
182,0
183,1
184,0
185,3
186,0
187,1
188,0
189,2
190,1
191,1
192,0
193,1
194,0
195,0
196,2
197,1
198,1
199,2
200,1
201,2
202,2
203,2
204,1
205,0
206,2
207,2
208,2
209,0
210,2
211,1
212,2
213,0
214,1
215,2
216,0
217,3
218,0
219,1
220,0
221,2
222,3
223,0
224,2
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,2
239,2
240,2
241,0
242,0
243,0
244,0
245,3
246,1
247,2
248,2
249,3
250,2
251,1
252,3
253,0
254,1
255,0
256,3
257,1
258,0
259,1
260,0
261,2
262,0
263,1
264,0
265,0
266,1
267,2
268,2
269,0
270,0
271,0
272,0
273,0
274,0
275,3
276,1
277,1
278,0
279,1
280,0
281,1
282,0
283,2
284,0
285,3
286,1
287,2
288,1
289,0
290,1
291,2
292,0
293,2
294,2
295,0
296,1
297,3
298,0
299,0
300,2
301,1
302,2
303,0
304,1
305,2
306,1
307,2
308,1
309,1
310,0
311,2
312,2
313,3
314,0
315,0
316,2
317,3
318,0
319,1
320,3
321,0
322,0
323,2
324,0
325,1
326,0
327,2
328,0
329,2
330,3
331,2
332,0
333,2
334,0
335,1
336,1
337,3
338,0
339,1
340,1
341,2
342,2
343,0
344,0
345,3
346,0
347,0
348,1
349,1
350,2
351,1
352,3
353,1
354,0
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,2
363,0
364,0
365,2
366,2
367,0
368,1
369,1
370,2
371,0
372,1
373,2
374,1
375,1
376,2
377,1
378,0
379,1
380,2
381,3
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,3
390,1
391,0
392,1
393,1
394,2
395,3
396,0
397,2
398,0
399,2
400,2
401,0
402,1
403,2
404,1
405,0
406,2
407,3
408,2
409,1
410,2
411,0
412,3
413,2
414,0
415,2
416,0
417,1
418,2
419,2
420,3
421,1
422,2
423,0
424,3
425,0
426,2
427,2
428,3
429,1
430,2
431,1
432,1
433,1
434,0
435,1
436,0
437,1
438,0
439,2
440,2
441,0
442,0
443,1
444,1
445,2
446,2
447,0
448,0
449,0
450,1
451,0
452,2
453,1
454,1
455,3
456,1
457,2
458,0
459,2
460,3
461,3
462,0
463,1
464,0
