,cluster
0,3
1,3
2,3
3,3
4,3
5,1
6,1
7,1
8,3
9,2
10,1
11,1
12,3
13,0
14,1
15,2
16,2
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,3
25,1
26,1
27,0
28,3
29,3
30,3
31,2
32,1
33,1
34,3
35,4
36,2
37,1
38,3
39,1
40,0
41,1
42,1
43,1
44,4
45,1
46,1
47,0
48,3
49,0
50,3
51,1
52,1
53,2
54,3
55,4
56,1
57,0
58,1
59,3
60,3
61,3
62,3
63,4
64,2
65,0
66,0
67,2
68,0
69,1
70,1
71,3
72,2
73,1
74,1
75,1
76,0
77,1
78,3
79,1
80,1
81,1
82,0
83,0
84,1
85,4
86,0
87,1
88,0
89,2
90,1
91,1
92,1
93,3
94,1
95,1
96,0
97,2
98,4
99,1
100,4
101,3
102,1
103,3
104,1
105,2
106,4
107,0
108,3
109,1
110,3
111,4
112,2
113,1
114,1
115,3
116,3
117,0
118,1
119,0
120,2
121,3
122,4
123,1
124,3
125,3
126,3
127,1
128,3
129,1
130,0
131,3
132,2
133,3
134,2
135,0
136,3
137,3
138,4
139,0
140,1
141,4
142,1
143,0
144,2
145,0
146,1
147,3
148,1
149,0
150,1
151,2
152,1
153,3
154,3
155,1
156,3
157,0
158,1
159,0
160,2
161,3
162,1
163,1
164,4
165,3
166,1
167,4
168,4
169,1
170,0
171,4
172,2
173,3
174,1
175,3
176,1
177,1
178,4
179,2
180,0
181,1
182,3
183,1
184,2
185,1
186,1
187,4
188,0
189,3
190,1
191,2
192,1
193,2
194,1
195,0
196,1
197,0
198,2
199,4
200,4
201,4
202,2
203,2
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,3
212,1
213,0
214,2
215,3
216,4
217,2
218,1
219,2
220,3
221,0
222,0
223,3
224,4
225,1
226,3
227,4
228,3
229,3
230,2
231,1
232,3
233,4
234,1
235,4
236,3
237,1
238,3
239,4
240,2
241,1
242,0
243,4
244,4
245,2
246,3
247,4
248,0
249,1
250,0
251,1
252,4
253,3
254,1
255,4
256,3
257,4
258,2
259,0
260,4
261,1
262,4
263,1
264,4
265,0
266,1
267,1
268,1
269,0
270,3
271,0
272,1
273,1
274,4
275,1
276,0
277,1
278,3
279,4
280,3
281,0
282,1
283,1
284,3
285,1
286,0
287,0
288,3
289,3
290,2
291,4
292,1
293,0
294,2
295,3
296,1
297,3
298,1
299,3
300,4
301,3
302,1
303,1
304,3
305,3
306,3
307,3
308,4
309,1
310,4
311,0
312,1
313,1
314,0
315,2
316,4
317,3
318,3
319,0
320,0
321,4
322,0
323,0
324,3
325,2
326,2
327,4
328,1
329,2
330,1
331,4
332,4
333,4
334,1
335,4
336,1
337,1
338,1
339,1
340,4
341,1
342,0
343,4
344,1
345,3
346,1
347,3
348,1
349,1
350,3
351,2
352,1
353,1
354,1
355,3
356,1
357,3
358,1
359,2
360,0
361,0
362,0
363,4
364,0
365,3
366,3
367,1
368,2
369,1
370,1
371,1
372,0
373,2
374,2
375,1
376,1
377,3
378,1
379,3
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,4
390,1
391,0
392,4
393,4
394,3
395,1
396,1
397,3
398,3
399,2
400,4
401,2
402,2
403,2
404,1
405,3
406,0
407,3
408,1
409,2
410,4
411,1
412,0
413,2
414,2
415,1
416,1
417,2
418,2
419,1
420,3
421,1
422,3
423,2
424,1
425,3
426,1
427,3
428,1
429,4
430,3
431,2
432,4
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,3
443,0
444,0
445,4
446,4
447,1
448,1
449,4
450,0
451,2
452,4
453,3
454,1
455,3
456,0
457,2
458,0
459,3
460,2
461,1
462,4
463,1
464,1
