,0
obo.DOID_1273,[]
obo.DOID_74,[]
obo.DOID_14250,[]
obo.DOID_409,[]
obo.DOID_2841,[]
obo.DOID_9351,[]
obo.DOID_850,[]
obo.DOID_2914,[]
obo.DOID_11705,[]
obo.DOID_9970,[]
obo.DOID_936,[]
obo.DOID_3083,[obo.DOID_850]
obo.DOID_3146,[]
obo.DOID_1459,[]
obo.DOID_0050742,[]
obo.DOID_1470,[]
obo.DOID_10652,[]
obo.DOID_6713,[obo.DOID_936]
obo.DOID_6000,[]
obo.DOID_1574,[]
obo.DOID_10763,[]
obo.DOID_2883,"[obo.DOID_0060072, obo.DOID_0060072]"
obo.DOID_14320,[]
obo.DOID_1826,[obo.DOID_936]
obo.DOID_14330,[]
obo.DOID_9408,[obo.DOID_3393]
obo.DOID_1307,[]
obo.DOID_3393,[]
obo.DOID_526,[]
obo.DOID_631,[]
obo.DOID_2355,[obo.DOID_74]
obo.DOID_5419,[]
obo.DOID_10273,[]
obo.DOID_1686,[]
obo.DOID_6132,[]
obo.DOID_13189,[obo.DOID_848]
obo.DOID_848,[]
obo.DOID_1612,[]
obo.DOID_0060224,[obo.DOID_10273]
obo.DOID_8857,[obo.DOID_2914]
obo.DOID_11476,[]
obo.DOID_8398,[obo.DOID_848]
obo.DOID_10283,[]
obo.DOID_0060072,[]
obo.DOID_4029,[]
obo.DOID_8534,[]
obo.DOID_3021,[]
obo.DOID_7148,"[obo.DOID_848, obo.DOID_2914]"
obo.DOID_12140,[]
obo.DOID_341,[]
obo.DOID_9477,[obo.DOID_850]
obo.DOID_1240,[obo.DOID_74]
