,0
obo.DOID_1273,"['CARDIOPATA', 'CARDIOPATIA']"
obo.DOID_74,[]
obo.DOID_14250,[]
obo.DOID_409,[]
obo.DOID_2841,['ASMA']
obo.DOID_9351,"['DM', ' DM']"
obo.DOID_850,[]
obo.DOID_2914,[]
obo.DOID_11705,['DRC']
obo.DOID_9970,"['OBESIDADE', ' OBESIDADE']"
obo.DOID_936,[]
obo.DOID_3083,"['DPOC', ' DPOC', 'DPOC ']"
obo.DOID_3146,"['DLP', ' DLP', 'DISLIPIDEMIA', ' DISLIPIDEMIA', 'DSLP', ' DSLP']"
obo.DOID_1459,"['HIPOTIREOIDISMO', ' HIPOTIREOIDISMO', ' HIPOTIROIDISMO', 'HIPOTIREODISMO', 'HIPOTIROIDISMO']"
obo.DOID_0050742,"['TABAGISTA', ' TABAGISTA', 'TABAGISMO', ' TABAGISMO']"
obo.DOID_1470,"['DEPRESSAO', ' DEPRESSAO']"
obo.DOID_10652,"['ALZHEIMER', ' ALZHEIMER']"
obo.DOID_6713,"['AVC', ' AVC', 'AVC PREVIO', 'AVE', 'AVCI']"
obo.DOID_6000,"['ICC', ' ICC', 'IC', ' IC']"
obo.DOID_1574,"['ETILISTA', 'ETILISMO', ' ETILISTA', ' ETILISMO']"
obo.DOID_10763,"['HIPERTENSAO', 'HIPERTENSO']"
obo.DOID_2883,"['HPB', ' HPB']"
obo.DOID_14320,"['ANSIEDADE', ' ANSIEDADE']"
obo.DOID_1826,"['EPILEPSIA', ' EPILEPSIA']"
obo.DOID_14330,"['PARKINSON', ' PARKINSON']"
obo.DOID_9408,"['IAM', ' IAM']"
obo.DOID_1307,"['DEMENCIA', ' DEMENCIA']"
obo.DOID_3393,"['DAC', ' DAC']"
obo.DOID_526,['HIV']
obo.DOID_631,['FIBROMIALGIA']
obo.DOID_2355,"['ANEMIA', ' ANEMIA']"
obo.DOID_5419,['ESQUIZOFRENIA']
obo.DOID_10273,"['ARRITMIA', ' ARRITMIA']"
obo.DOID_1686,"['GLAUCOMA', ' GLAUCOMA']"
obo.DOID_6132,['BRONQUITE']
obo.DOID_13189,"['GOTA', ' GOTA']"
obo.DOID_848,['ARTRITE']
obo.DOID_1612,"['CA MAMA', 'CA DE MAMA']"
obo.DOID_0060224,"['FA', ' FA']"
obo.DOID_8857,['LUPUS']
obo.DOID_11476,['OSTEOPOROSE']
obo.DOID_8398,"['ARTROSE', ' ARTROSE']"
obo.DOID_10283,"['CA PROSTATA', 'CA DE PROSTATA']"
obo.DOID_0060072,['NEOPLASIA']
obo.DOID_4029,['GASTRITE']
obo.DOID_8534,['DRGE']
obo.DOID_3021,['IRA']
obo.DOID_7148,['ARTRITE REUMATOIDE']
obo.DOID_12140,['CHAGAS']
obo.DOID_341,['DAOP']
obo.DOID_9477,['TEP']
obo.DOID_1240,['LEUCEMIA']
